阿尔法	a er fa
针叶林树梢穿过绿色隧道	zhen ye lin shu shao chuan guo lv se sui dao
整个画面是你想你想的睡不著	zheng ge hua mian shi ni xiang ni xiang de shui bu zhu
正手发长球的打法只是初级乒乓	zheng shou fa chang qiu de da fa zhi shi chu ji ping pang
正义呼唤我美女需要我	zheng yi hu huan wo mei nv xu yao wo
知道不能太依赖	zhi dao bu neng tai yi lai
直到听见有人说爱我	zhi dao ting jian you ren shuo ai wo
只得一行青苔	zhi de yi hang qing tai
只喝冰过的饮料	zhi he bing guo de yin liao
只会用武士刀比划嘿	zhi hui yong wu shi dao bi hua hei
只剩下钢琴陪我谈了一天	zhi sheng xia gang qin pei wo tan le yi tian
只是教室的阳光	zhi shi jiao shi de yang guang
只收看音乐频道	zhi shou kan yin yue pin dao
只享受到乌烟瘴气	zhi xiang shou dao wu yan zhang qi
只有你能听得到	zhi you ni neng ting de dao
只有我看得到	zhi you wo kan de dao
止战之殇	zhi zhan zhi shang
重伤的汗水	zhong shang de han shui
众生缘	zhong sheng yuan
忠心是唯一	zhong xin shi wei yi
周大侠	zhou da xia
周董	zhou dong
周杰伦	zhou jie lun
周围的人群堵住了我的出口	zhou wei de ren qun du zhu le wo de chu kou
朱红色的窗	zhu hong se de chuang
祝我生日快乐	zhu wo sheng ri kuai le
自己造成的那尴尬	zi ji zao cheng de na gan ga
自私的人类狼不狼狈	zi si de ren lei lang bu lang bei
自我催眠	zi wo cui mian
仔细观察她的喜好	zi xi guan cha ta de xi hao
仔细想这种生活安详	zi xi xiang zhe zhong sheng huo an xiang
总爱让你猜	zong ai rang ni cai
总要我说才明白	zong yao wo shuo cai ming bai
走起路一不注意就撞树	zou qi lu yi bu zhu yi jiu zhuang shu
走下乡寻找哪有花香	zou xia xiang xun zhao na you hua xiang
最长的电影	zui chang de dian ying
最后的战役	zui hou de zhan yi
坐车厢朝着南下方向	zuo che xiang chao zhe nan xia fang xiang
坐在电影院的二楼看人群走过	zuo zai dian ying yuan de er lou kan ren qun zou guo
坐在里面看着西洋片	zuo zai li mian kan zhe xi yang pian
坐着公车上学的我	zuo zhe gong che shang xue de wo
